pattern,meaning,title,explanation,category,example_sentence,example_translation
～ことだから,"（皆が知っている理由を示す。後ろに推量の文がくる。）  Trình bày lý do mà mọi người đều biết, theo sau là câu suy luận.",N2 Grammar,［名－の］＋ことだから,jlpt_grammar,子供のことだから、少しぐらいいたずらをしても仕方がないです。  ,Vì là trẻ con nên có nghịch một tí cũng không có cách nào.
～に伴(ともな)って／～に伴い／～に伴う,"～にしたがって・～につれて  Cùng với, đi kèm....",N2 Grammar,[動－辞書形]      [名]       ＋に伴って,jlpt_grammar,人口が増えるに伴って、いろいろな問題が起こってきた。,"  Đi kèm với việc tăng dân số, nhiều vấn đề đa dạng nảy sinh."
～だけ／～だけあって／～だけに／～だけの,"～にふさわしく  （［～だけ］［～だけあって］［～だけに］［～だけの］が使われる。）                                          Phù hợp với, quả đúng là, đúng là….có khác",N2 Grammar,［動・い形・な形・名］の名詞修飾型＋だけ  （ただし［名－の］の［の］はつかない。）,jlpt_grammar,この仕事は努力しただけ成果が現れるので、やりがいがある。 ,Công việc này có thành quả thể hiện ra phù hợp với những nỗ lực bỏ ra nên tôi thấy rất có ý nghĩa.
～にあたって／～に当たり,"～の時に  （何かをすべき特別の機会や場合を示す。）  Trong khi…　(Dùng trong trường hợp, cơ hội đặc biệt)",N2 Grammar,［動－辞書形］     ［名］       ＋にあたって,jlpt_grammar,開会にあたって、ひとことごあいさつ申し上げます。  ,"Khai mạc hội nghị, tôi xin có một vài lời chào."
～にかけては／～にかけても,～について言えば  Nếu nói về…,N2 Grammar,［名］＋にかけては,jlpt_grammar,数学にかけては、彼女はクラスでいつも一番だった。,Nếu nói về số học thì cô ấy là giỏi nhất lớp.
～に際して／～に際し／～に際しての,"～を始める時に・～をしている時に  Khi bắt đầu…, Khi đang…",N2 Grammar,［動－辞書形］     ［名］       ＋に際して,jlpt_grammar,留学に際して、先生や友人から励ましの言葉をもらった。,"Khi đang du học, tôi đã nhận được nhiều lời động viên từ thầy cô và bè bạn."
～に先立って／～に先立ち／～に先立つ,～の前に・～より先に  Trước khi...,N2 Grammar,［名］＋に先立って,jlpt_grammar,映画の一般公開に先立って、主演女優のサイン会が開かれた。,"Trước khi công chiếu bộ phim, lễ ký tặng của nữ diễn viên chính đã được tổ chức."
～にしたら／～にすれば／～にしても,"～の立場で言うと  Nếu nói trên lập trường…, nhìn từ suy nghĩ của…, đối với…",N2 Grammar,［名］＋にしたら,jlpt_grammar,あの人にしたら、私たちの親切はかえって迷惑かもしれません。,"Nếu nhìn từ suy nghĩ của người đó, có thể sự tốt bụng của chúng ta ngược lại đem đến phiền phức."
～につき,～なので  Vì…,N2 Grammar,［名］＋につき,jlpt_grammar,雨天につき、試合は延期いたします。,Vì trời mưa nên trận đấu đã bị hoãn.
～につけ／～につけて（は）／～につけても,～するたびに  Mỗi lần làm…,N2 Grammar,［動－辞書形］＋につけ,jlpt_grammar,家族の写真を見るにつけ、会いたくてたまらなくなる。,Mỗi lần nhìn ảnh gia đình tôi lại muốn gặp mọi người không chịu nổi.
～のもとで／～のもとに,"～のしたで  （影響や条件の範囲内で、あることが行われることを表す。 ） Dưới…(Trong phạm vi ảnh hưởng, trong điều kiện…mà một việc được tiến hành)",N2 Grammar,［名］＋のもとで,jlpt_grammar,鈴木教授のご指導のもとで、卒業論文を完成させた。,"Dưới sự chỉ đạo của thầy Suzuki, tôi đã hoàn thành khóa luận tốt nghiệp."
～はともかく（として）,"～のことは考えないで・～は別にして  Tạm thời không nghĩ đến…, Tạm thời gác chuyện…sang một bên",N2 Grammar,［名］＋はともかく,jlpt_grammar,この洋服は、デザインはともかく、色がよくない。,"Bộ quần áo này, tạm thời không nói đến thiết kế, màu sắc đã không đẹp rồi."
～によって／～により／～による／～によっては 接続   [名]＋によって,"動作の主体（主に受身文で）を示す。  Nhờ vào, do, bởi ~  Chỉ chủ thể của hành động (chủ yếu trong câu bị động).",N2 Grammar,,jlpt_grammar,アメリカ大陸はコロンブスによって発見された。,Châu Mỹ do Columbus phát hiện ra.
～をきっかけに（して）／～をきっかけとして,"（偶然のできごとから何かが始まったり変わったりすることを表す。）  Biểu thị rằng từ một việc ngẫu nhiên mà có gì đó bắt đầu, thay đổi.",N2 Grammar,［名］＋をきっかけに,jlpt_grammar,留学をきっかけに、自分の国についていろいろ考えるようになった。,Từ việc đi du học mà tôi đã có nhiều suy nghĩ về đất nước của mình.
～を契機に（して）／～を契機として,（あるできごとから、前の流れがはっきり表れてきたり大きく変わったりすることを表す。）  Nhân cơ hội ~ (Chỉ một việc mà dòng chảy từ trạng thái trước biểu hiện rõ ràng và thay đổi lớn từ một sự kiện nhất định),N2 Grammar,［名］＋を契機に,jlpt_grammar,オイルショックを契機に新エネルギーの研究が進められた。,"Nhân thời cơ của cuộc khủng hoảng dầu lửa, các nghiên cứu về năng lượng mới đã được đẩy mạnh."
～を～として／～を～とする／～を～とした,～を～と決めて・～が～である  Lấy ~ làm ~,N2 Grammar,［名］＋を＋［名］として,jlpt_grammar,陳さんを先生として、中国語の勉強会を開いた。,Cử anh Trần làm thầy giáo và hội học tiếng Trung đã được mở.
～あげく（に）,～したその結果とうとう・～したけれども、結局       Sau ~ rốt cuộc là ...,N2 Grammar,［動－た形］        ［名－の］      ＋あげく,jlpt_grammar,さんざん迷(まよ)ったあげく、大学院には行かないことにした。,"Sau khi cứ lúng túng gay go mãi, rốt cuộc là đã không học lên tiếp cao học được."
～以上（は）,～からには  Chừng nào ~ ; đã là ~ thì,N2 Grammar,［動・い形・な形・名］の名詞修飾型＋以上  （ただし［名－の］の形は使わない。 ［名－である］を使う。［な形－である］も使う。）,jlpt_grammar,日本に住んでいる以上、日本の法律を守らなければならない。,Đã sống trên đất Nhật thì phải tuân thủ pháp luật Nhật Bản.
～上は,～からには  Chừng nào ~ ; đã là ~ thì,N2 Grammar,［動－辞書形 | た形］＋上は,jlpt_grammar,契約を結(むす)ぶ上は、条件を慎重に検討すべきである。,Khi ký kết hợp đồng thì cần phải kiểm thảo thận trọng các điều kiện.
～ことなく,～ないで  Không có ~,N2 Grammar,［動－辞書形］＋ことなく,jlpt_grammar,ロボットは 24時間休むことなく働いている。,Robot làm việc 24h mà không nghỉ
～際（は）／～際に,"～時・～場合  Thời gian, trường hợp",N2 Grammar,［動－辞書形 | た形］        ［名－の］         ＋際,jlpt_grammar,帰国の際、保証人の家にあいさつに行った。,Lúc về nước đã đi chào gia đình người bảo lãnh.
～つつ／～つつも 接続   ［動－ます形］＋つつ,"ながら  Đang, trong khi ~",N2 Grammar,,jlpt_grammar,財布の中身を考えつつ、買い物をした。,Vừa nghĩ đến ví vừa đi mua hàng.
～てからでないと／～てからでなければ,～た後でないと  （前に言ったことが実現してからでなければ、後ろで言うことが実現しない。）  Nếu không thực hiện cái nói đằng trước thì điều đằng sau cũng không thực hiện.,N2 Grammar,［動－て形］＋からでないと,jlpt_grammar,お金をいただいてからでないと、商品はお届けできません。,Nếu chưa nhận được tiền thì hàng cũng không giao được.
～によると／～によれば,"伝聞の根拠(こんきょ)を示す。  Theo, y theo ~. Chỉ căn cứ của tin đồn.",N2 Grammar,[名]＋によると,jlpt_grammar,今朝の新聞によると、来年度、二つの大学が新設されるそうだ。,"Theo báo ra sáng nay, sang năm, hai trường đại học mới sẽ được thành lập."
～といっても,～（だ）が・しかし  （実際はそれから考えられるものとは違う。）  Dù là ~ nhưng ~ (thực tế so với điều được nghĩ từ đó khác nhau),N2 Grammar,［動・い形・な形・名］の普通形＋といっても  （ただし［名］と［な形］の［だ］はつかない場合もある。）,jlpt_grammar,庭(にわ)があるといっても猫の額ほどです。,Nói là có vườn đấy nhưng mà bé tí (như cái đầu trán mèo).
～どころか,"（前に言ったことはもちろん、それよりもっと程度が激(はげ)しいという時や、実際はそうではなく、正反対であることを強調する時に使う。）  Dùng nhấn mạnh một sự phản đối trực diện, điều nói trước là hiển nhiên. Diễn đạt một vật, việc gì đó quá xa so với trạng thái mong đợi. Ý sau thể hiện cái điều khác xa so với ý trước.",N2 Grammar,［動・い形・な形・名］の普通形＋どころか  （ただし［な形］と［名］は［だ］がつかない。 ［な形－な］も使われる。）,jlpt_grammar,彼は貯金するどころか借金だらけだ。,"Anh ta mà có tiết kiệm à, nợ nần chồng chất kia kìa."
～としたら／～とすれば 接続   ［動・い形・な形・名］の普通形＋としたら,～なら  （仮定の表現。）  Nếu mà (giả định),N2 Grammar,,jlpt_grammar,留学するとしたら、日本に行きたいと思っていました。,"Nếu mà đi du học, tôi đã định đi Nhật."
～ないことには,～なければ  Nếu không ~,N2 Grammar,［動－ない形］        ［い形－く］        ［な形－で］        ［名－で］          ＋ないことには,jlpt_grammar,実際に読まないことには、この小説の面白さはわからないだろう。,Nếu mà chưa đọc thì không biết được độ hấp dẫn của tiểu thuyết này đâu.
～ながら,"けれども  Ấy thế mà, tuy nhiên ~",N2 Grammar,［動－ます形 | ない形－ない］        ［い形－い］        ［な形－O］        ［名］               ＋ながら,jlpt_grammar,一緒に暮(く)らしていながら、母の病気に気づかなかった。,Sống cùng một nhà vậy mà không nhận ra bệnh của mẹ.
～にしては,"そのことから当然予想されることと違って     Rather, somewhat, to a degree ~ So với điều được đương nhiên nghĩ đến từ đó thì khác",N2 Grammar,［動・い形・な形・名］の普通形＋にしては  （ただし［な形］と［名］は［だ］がつかない。）,jlpt_grammar,兄はアメリカに 20年いたにしては英語が下手だ。,Dù anh trai sống ở Mỹ đến 20 năm nhưng tiếng Anh thì dở ẹc.
～にしろ／～に（も）せよ／～にしても 接続   ［動・い形・な形・名］の普通形＋にしろ  （ただし［な形］と［名］の［だ］はつかない。 ［な形－である］［名－である］も使う。）,"たとえ～ても・～でも  Ngay cả nếu, tỉ như ~, vẫn ~",N2 Grammar,,jlpt_grammar,どんな人間にしろ長所はあるものだ。,Dù là người nào thì cũng có sở trường.
～にかかわらず／～に（は）かかわりなく,～に関係なく  Không liên quan đến~,N2 Grammar,［動－辞書形］＋［動－ない形－ない］        ［名］                  ＋にかかわらず,jlpt_grammar,参加するしないにかかわらず、必ず返事をください。,"Không tính là có tham gia hay không, nhất định hãy trả lời nhé."
～にもかかわらず,"～のに  Dù cho, dẫu cho ~",N2 Grammar,［動・い形・な形・名］の普通形＋にもかかわらず  （ただし［な形］と［名］は［だ］がつかない。［な形－である］［名－である］も使う。）,jlpt_grammar,彼は熱(ねつ)があるにもかかわらず、サッカーの試合に出場した。,Anh ta dù bị sốt nhưng vẫn ra sân thi đấu bóng đá.
～ぬきで（は）／～ぬきに（は）／～ぬきの／～をぬきにして（は）／～はぬきにして,～なしで・なしに  （～がない状態で・～を省(はぶ)いて）  Không có ~ (ở trạng thái không có ~ hoặc lược bớt ~),N2 Grammar,［名］＋ぬきで,jlpt_grammar,朝食ぬきで会社へ行くサラリーマンが多いらしい。,Có vẻ nhiều nhân viên công ty đi làm mà không ăn sáng.
～を中心に（して）／～を中心として,"～を真ん中にして・～を一番重要なものとして  Lấy ~ làm trung tâm, lấy ~ là thứ quan trọng nhất.",N2 Grammar,[名]＋を中心に,jlpt_grammar,駅を中心にたくさんの商店が集まっている。,Nhiều cửa hàng tập trung quanh ga.
～のみならず,"～だけでなく  Như, cũng như, và còn thêm ~ ; Không chỉ, mà còn~",N2 Grammar,［動・い形・な形・名］の普通形＋のみならず  （ただし［な形］と［名］は［だ］がつかない。［な形－である］［名－である］も使う。）,jlpt_grammar,このコンピューターは性能が優れているのみならず、操作も簡単だ。,Máy tính này không chỉ vượt trội về tính năng mà sử dụng còn dễ dàng.
～反面／～半面,"ある面では～と考えられるが、別の面から見ると  Mặt khác, mặt trái",N2 Grammar,［動・い形・な形・名］の名詞修飾型＋反面  （ただし［名］は［である］を使う。また［な形－である］も使う。）,jlpt_grammar,この薬はよくきく反面、副作用がある。,Thuốc này có tác dụng tốt nhưng mặt trái cũng gây tác dụng phụ.
～ものなら,"～なら  （実現が難しいことを希望する時、または、実現の可能性が少ないことを相手に冷たく言う時の言い方。）  If, in the event that, in the case of ~ . Nếu ~ (dùng khi hi vọng vào một điều khó thực hiện hoặc là ít khả năng thực hiện – cách nói lạnh lùng)",N2 Grammar,［動－辞書形］＋ものなら,jlpt_grammar,父の病気が治るものなら、どんな高価な薬でも手に入れたい。,Nếu bệnh tình của bố chữa được thì thuốc có đắt đến mấy tôi cũng mua.
～ものの,"けれども・～ということは本当だが、しかし  Though, despite, in spite of ~ Dù là ~ ; nói ~ là đương nhiên nhưng mà ~",N2 Grammar,［動・い形・な形］の名詞修飾型＋ものの,jlpt_grammar,免許はとったものの、車が買えない。,Dù là có bằng lái nhưng mà không mua được ô tô.
～わりに（は）,"～にふさわしくなく以外に Không phù hợp, không xứng với ~ Trong tỉ lệ, so với ~",N2 Grammar,［動・い形・な形・名］の名詞修飾型＋わりに,jlpt_grammar,私はたくさん食べるわりに太らない。,"Mặc dù tôi ăn rất nhiều, nhưng mà không bị tăng cân."
～（よ）うではないか／～（よ）うじゃないか,～しましょう・～しませんか  （強い呼びかけの表現。）  Hãy ~ (kêu gọi mạnh mẽ),N2 Grammar,［動－意向形］＋ではないか,jlpt_grammar,災害を受けた人々に救援物資を送ろうではないか。,Chúng ta hãy gửi đồ cứu viện đến cho những người bị thảm hoạ.
～得る／～得ない,～することができる | できない・～の可能性がある | ない  Có thể/không thể ~. Nói về tính khả thi,N2 Grammar,［動－ます形］＋得る,jlpt_grammar,考え得る限りの手は尽(つ)くしたが、問題の解決には至(いた)らなかった。,Đã hết sức trong giới hạn có thể suy nghĩ nhưng vẫn chưa đến được cách giải quyết vấn đề.
～かねない,～おそれがある・～かもしれない  （悪い結果になる可能性がある時に使う。）  Lo ngại là ~ ; Có lẽ ~,N2 Grammar,［動－ます形］＋かねない,jlpt_grammar,あんなにスピードを出したら、事故を起こしかねない。,"Tăng tốc đến mức này, tai nạn chứ chẳng chơi."
～かねる,"～しようとしてもできない・～することが難しい  Muốn làm ~ nhưng không thể, ~ là khó",N2 Grammar,［動－ます形］＋かねる,jlpt_grammar,そんな多額な寄付(きふ)には応じかねます。,Đóng góp nhiều tiền thế này thì chúng tôi khó lòng nhận lời được.
～ことか,"なんと～でしょう  （感嘆・嘆息を表す。）  Không biết thế nào đây ~ (cảm thán, thở dài)",N2 Grammar,［動・い形・な形］の名詞修飾型＋ことか,jlpt_grammar,息子から半年も連絡がない。一体何をしていることか。,"Con trai nửa năm rồi chả thấy liên lạc gì, không hiểu là đang làm cái gì đây."
～を問(と)わず／～は問わず,"～に関係なく・～に影響されないで  Không kể, bất kể. Không liên quan đến ~, không bị ảnh hưởng bởi ~",N2 Grammar,[名]＋を問わず,jlpt_grammar,留学生ならどなたでも国籍、年齢、性別を問わず申し込めます。,"Nếu là lưu học sinh, bất cứ ai, không kể quốc tịch, tuổi tác, giới tính đều có thể đăng ký."
～ことだ,（そのことが大切であると勧める時に使う。） Dùng khi khuyên người khác rằng việc đó là quan trọng,N2 Grammar,［動－辞書形 | ない形－ない］＋ことだ,jlpt_grammar,大学に入りたければ、一生懸命勉強することだ。,Nếu muốn vào đại học thì nên chăm chỉ học hành.
～ざるを得ない,"どうしても～なければいけない・～ないわけにはいかない  Dù thế nào, cũng phải…; Không thể không…",N2 Grammar,［動－ない形］＋ざるを得ない  （［する］は［せざるを得ない］となる。 ）,jlpt_grammar,みんなで決めた規則だから、守らざるを得ない。,Vì là nguyên tắc mọi người định ra nên không thể không tuân thủ.
～次第だ／～次第で（は）,"～わけだ  （経緯・理由を示して、～の結果になったと言いたい時の表現。）  Vì…(Chỉ nguồn căn, lý do; cách dùng khi muốn nói đã có kết quả là…)",N2 Grammar,［動・い形・な形］の名詞修飾型＋次第だ,jlpt_grammar,このたび日本政府の招きにより、親善大使として日本に来た次第です。,Lần này nhận lời mời của chính phủ Nhật Bản nên tôi đã đến Nhật với tư cách Đại sứ thiện chí.
～っこない,"決して～ない・絶対～ない  Nhất định không…, Tuyệt đối không…",N2 Grammar,［動－ます形］＋っこない,jlpt_grammar,宝(たから)くじなんて当たりっこないよ。,Tôi thì những thứ như xổ số là nhất định sẽ không bao giờ trúng.
～というものだ,（それが当たり前という話者の主張や感想を表す。 ）  Biểu thị cách nghĩ và cảm giác của người nói rằng việc đó là đương nhiên,N2 Grammar,［動・い形・な形・名］の普通形＋というものだ  （ただし［な形］と［名］は［だ］がつかない場合が多い。）,jlpt_grammar,彼の作品がやっと世間から評価された。長年の苦労が認められたというものだ。,Tác phẩm của anh ấy cuối cùng cũng được dư luận đánh giá cao. Đó chính là sự công nhận công sức lao động trong thời gian dài.
～というものではない／～というものでもない,～とは言いきれない  Không thể nói hết là…,N2 Grammar,［動・い形・な形・名］の普通形＋というものではない  （ただし［な形］と［名］の［だ］ はつかないこともある。）,jlpt_grammar,性格は絶対に変えられないというものではない。,Không thể nói rằng là tính cách tuyệt đối sẽ không thay đổi.
～ないことはない／～ないこともない,"～の可能性もある  Cũng có khả năng là…, không phải là không thể…",N2 Grammar,［動－ない形］        ［い形－く］        ［な形－で］        ［名］      ＋ないこともない,jlpt_grammar,難しいが、やり方次第ではできないことはないだろう。,Dù khó nhưng mà tùy theo cách làm cũng không phải là không thể làm được.
～ないではいられない／～ずにはいられない,"どうしても～してしまう  （どうしても我慢できず、自然にそうなってしまうと言いたい時の表現。）  Dù thế nào cũng đã làm… ( Dù thế nào cũng không thể chịu đựng, Dùng khi muốn nói tự nhiên mà thành như thế)",N2 Grammar,［動－ない形］＋ないではいられない  （ただし［する］は［せずにはいられない］となる。）,jlpt_grammar,彼のもの真似を見るとおかしくて、笑わないではいられない。,Nhìn cách anh ấy bắt chước các sự vật buồn cười quá nên tôi không thể nhịn được.
～に限る／～に限り／～に限って 接続   ［名］＋に限る,～だけ  （［～に限る］［～に限り］［～に限って］を使う。）  Giới hạn ở…,N2 Grammar,［動－辞書形 | ない形－ない］      ［名］               ＋に限る,jlpt_grammar,参加者は女性に限る。,Người tham gia chỉ giới hạn ở nữ.
～に限らず,"～だけではなく～も   Không chỉ…mà cũng…, Không những…mà còn…",N2 Grammar,［名］＋に限らず,jlpt_grammar,ディズニーランドは子供に限らず、大人にも人気がある。,Disneyland thì không những được trẻ con ưa thích mà cả người lớn nữa.
～をはじめ／～をはじめとする,一つの主(おもな)な例を出す言い方。  Cách nói đưa ra một ví dụ chính.,N2 Grammar,[名]＋をはじめ,jlpt_grammar,上野動物園にはパンダをはじめ、子供たちに人気がある動物がたくさんいます。,"Ở vườn thú Ueno, những động vật mà trẻ em yêu thích, như gấu trúc, có rất nhiều."
～にほかならない,"まさに～だ・それ以外でない  （強調。断定的に述べる時に使う。）  Chính là…, Không gì khác là…",N2 Grammar,［動・い形・な形・名］の普通形＋にほかならない  （ただし［な形］と［名］は［だ］がつかない。［な形－である］［名－である］も使う。理由を表す［から］にもつく。 ）,jlpt_grammar,この手紙は私の正直な気持ちを申し上げたにほかなりません。,Bức thư này không gì khác chính là nói lên tình cảm chân thành của tôi.
～もの,～から  （理由の説明や言いわけの表現。） Bởi vì…,N2 Grammar,［動・い形・な形・名］の普通形＋もの  （［です］［ます］に接続 する場合もある。 ）,jlpt_grammar,一人で行ける。うん、大丈夫、地図を持っているもの。,"Cậu có thể đi một mình chứ? Ừ, không sao đâu vì tớ có bản đồ mà."
～ものがある,"～という感じがある・～ように感じられる  Có cảm giác…, Có thể càm giác như là…",N2 Grammar,［動・い形・な形］の名詞修飾型の現在＋ものがある,jlpt_grammar,この絵には人を引きつけるものがある。,Tôi có cảm giác bức tranh này rất lôi cuốn người xem.
～ようがない／～ようもない,"～する方法がない・手段がなくて～できない  Không còn phương pháp nào, không còn cách nào, không thể",N2 Grammar,［動－ます形］＋ようがない,jlpt_grammar,木村さんは今どこにいるのかわからないので、連絡しようがない。,Tôi không biết anh Kimura giờ ở đâu nên không thể liên lạc được.
～をもとに／～を元にして,"～を判断の基準・材料などにして  Lấy ~ làm cơ sở, tài liệu cho phán đoán.",N2 Grammar,[名]＋をもとに,jlpt_grammar,ファンの人気投票(とうひょう)をもとに審査し、今年の歌のベストテンが決まります。,Bảng xếp hạng ca khúc top ten năm nay sẽ được quyết định dựa trên sự thẩm tra phiếu bình chọn của fan.
～上（に）,"～だけでなく・～に加えて  Không chỉ ~, thêm vào với ~",N2 Grammar,[動・い形・な形・名]の名詞修飾型＋うえ,jlpt_grammar,今年のインフルエンザは高熱が出る上、せきもひどい。,"Dịch cúm năm nay không chỉ có sốt cao, mà còn ho dữ dội nữa."
～とともに,～と一緒にCùng với...,N2 Grammar,[名]＋とともに,jlpt_grammar,お正月は家族とともに過ごしたい。,Tôi muốn ăn Tết cùng gia đình.
